index,현재 시간,영상 제목,조회수,댓글,좋아요,구독자

1,2020/04/20 17:44:37,"ENG)자취생 브이로그_밥 해먹고 눕고 강의 듣고 다시 눕는 평범한 일상, 본가 가서 첫 투표하기,처음으로 쏘야 도전","조회수 68,386회",댓글 503개,5천,구독자 14.8만명
2,2020/04/20 17:44:49,"💪취준생 브이로그 : 면접 준비와 당일, 긴장감에 휩싸인 며칠, 미라클모닝 일기 쓰기, 총선 투표하러 가는 일상 브이로그🇰🇷","조회수 36,016회",댓글 248개,1.4천,구독자 16.3만명
3,2020/04/20 17:45:02,"[일상 브이로그] 삼치조림, 김치볶음밥, 사과쿠키, 컬러링북, 오삼불고기, 간장 닭다리 조림, 돼지고기 덮밥(부타동), 미니화로, 워킹머신, 운동법 / 요리, 20대 여자취미추천","조회수 156,134회",댓글 621개,2.7천,구독자 18.4만명
4,2020/04/20 17:45:15,[학생브이로그] 공주의 삶을 살아보았습니다! 공주 브이로그,"조회수 123,897회","댓글 1,021개",4.8천,구독자 5.67만명
5,2020/04/20 17:45:31,자취생 편의점 야식 브이로그,"조회수 35,615회",댓글 380개,1.6천,구독자 9.07만명
6,2020/04/20 17:45:42,미국 유학생 자가격리 일상 브이로그 🇺🇸| 사회적 거리두기 (feat. 먹방) | 집콕 VLOG,조회수 696회,댓글 35개,87,구독자 1.93만명
7,2020/04/20 17:45:53,[VLOG] 프로 편순이의 알바 마지막 날 | 편의점 알바 브이로그,"조회수 55,789회",댓글 171개,1.6천,구독자 5.46만명
8,2020/04/20 17:46:05,Vlog. 탄수화물 브이로그. 김밀란샘 까르보나라/바지락 폭탄  칼국수/바나나 크림 파이는 망했지만 맛있더라..브이로그,"조회수 57,353회",댓글 163개,1.5천,구독자 31.7만명
9,2020/04/20 17:46:16,1200만 원 명품하울 + 쇼핑 브이로그 + 한남동 데이트🧡,"조회수 399,496회",댓글 424개,4.6천,구독자 41.6만명
10,2020/04/20 17:46:27,[VLOG] 집콕 펭귄의 브이로그 | 주말일상 | 요리하기 | 혼자놀기 챌린지,"조회수 443,414회","댓글 4,297개",3.1만,구독자 214만명
11,2020/04/20 17:46:38,"유쾌한 자가격리 브이로그 | 코로ㄴr 검사 후기 | 혼잣말 대잔치, 먹방vlog, 마켓컬리, 녹차롤케이크, 마카롱, 김밥, 신참떡볶이, 과제, 영화, 잠, 드립커피, 있지 | 새니","조회수 87,961회",댓글 214개,1.3천,구독자 9.25만명
12,2020/04/20 17:46:49,일본 브이로그🏠 매일 싸는 도시락 | 김밥집 오픈한 횬짱언니네 | 일본 추천템 EMS보내기,"조회수 327,987회","댓글 1,321개",8.6천,구독자 19.8만명
13,2020/04/20 17:47:01,💉수술을 앞둔 어느 4월의 브이로그💉 하루종일 V-LOG  - [김남욱],"조회수 51,695회",댓글 188개,1.2천,구독자 50.4만명
14,2020/04/20 17:47:14,"먹방 브이로그 | 엽떡, 김치찜돈까스 만들기, 신전 떡볶이(스팸마요 + 치즈스틱), 짜파게티, 불타는 고추짜장, 일상","조회수 84,048회",댓글 423개,1.6천,구독자 7.04만명
15,2020/04/20 17:47:25,(eng.) VLOGㅣ직장인 일상 브이로그ㅣ드라이브스루 꽃구경ㅣ파스타 해먹고 질샌더 언박싱,"조회수 37,581회",댓글 132개,1천,
16,2020/04/20 17:47:36,뚜기는 뭐하면서 살까? / 24시간 브이로그,"조회수 107,881회",댓글 327개,2.7천,구독자 15.3만명
17,2020/04/20 17:47:47,[Eng]cafe vlog 카페에서 배달을 시작했어요! 카페사장 브이로그 korean cafe blogs,"조회수 104,617회",댓글 356개,4.9천,구독자 38.5만명
18,2020/04/20 17:47:59,"[닭갈비편] 집에서는 뭐든 무한리필🥰 먹방 브이로그 (양장피, 짜장면, 토달볶, 엽떡, 허니콤보, 비빔국수, 잔치국수, 땡초김밥, 샌드위치) MUKBANG VLOG","조회수 239,096회",댓글 641개,3.6천,구독자 12.6만명
19,2020/04/20 17:48:12,"브이로그, 이사 왔습니다 !","조회수 104,761회","댓글 1,322개",3.1천,구독자 8.48만명
20,2020/04/20 17:48:23,Eng | 브이로그 | 프리랜서 디자이너 | 사업준비 | 피팅모델 | 집들이 | 네일 | 요리왕이 되어보렵니다🧡,"조회수 74,944회",댓글 280개,978,구독자 6.88만명
